"Date","Type","Transaction ID","Received Quantity","Received Currency","Received Currency Balance","Received Cost Basis (USD)","Received Wallet","Received Address","Received Tag","Received Comment","Sent Quantity","Sent Currency","Sent Currency Balance","Sent Cost Basis (USD)","Sent Wallet","Sent Address","Sent Tag","Sent Comment","Fee Amount","Fee Currency","Realized Return (USD)","Disabled"
12/04/2020 17:42:04,Receive,52c519b0f7c68af8316b5225297e3462bc1916358dd512f5acad65a6dc5d4608,90.00000000,ETH,...,...,ETH Wallet ...b0fFE5 - ETH,0x46EEA8D5b37D2Db51f35c1bC8C50CBf80fb0fFE5,,,,,...,...,,,,,,,...,
12/04/2020 18:22:16,Trade,0xc758347df374a91fbfeff17757a6181a1a45467087f3bb169ddd24ad8e6b1bc1,78307.88962623,DAOFI,...,...,ETH Wallet ...b0fFE5 - ETH,0x46EEA8D5b37D2Db51f35c1bC8C50CBf80fb0fFE5,,,15.00000000,ETH,...,...,ETH Wallet ...b0fFE5 - ETH,0x46EEA8D5b37D2Db51f35c1bC8C50CBf80fb0fFE5,,,0.00431125,ETH,...,
12/04/2020 18:41:01,Trade,0xd11f6ed8473c8aeb65b16767df6d7c4be0915b22250a2edd508187a4699aa051,76306.80911728,DAOFI,...,...,ETH Wallet ...b0fFE5 - ETH,0x46EEA8D5b37D2Db51f35c1bC8C50CBf80fb0fFE5,,,15.00000000,ETH,...,...,ETH Wallet ...b0fFE5 - ETH,0x46EEA8D5b37D2Db51f35c1bC8C50CBf80fb0fFE5,,,0.00502115,ETH,...,
12/04/2020 18:45:07,Trade,0xf8409ad6a68bd5b1b40bc9b08eda9ab761af3d5853586767ba0c2e229ce8cfe9,72950.49531295,DAOFI,...,...,ETH Wallet ...b0fFE5 - ETH,0x46EEA8D5b37D2Db51f35c1bC8C50CBf80fb0fFE5,,,15.00000000,ETH,...,...,ETH Wallet ...b0fFE5 - ETH,0x46EEA8D5b37D2Db51f35c1bC8C50CBf80fb0fFE5,,,0.00374125,ETH,...,
12/07/2020 22:24:13,Receive,0xc8fd0a3ced966987ac2d002ffe7fb188a452f224a45f277a5cefe51d9ee4098e,5538.54920725,BAL,...,...,ETH Wallet ...b0fFE5 - ETH,0x46EEA8D5b37D2Db51f35c1bC8C50CBf80fb0fFE5,,,,,...,...,,,,,,,...,
12/07/2020 22:42:11,Receive,0xc4ef7d89452b1956a2b38613542913fda832338ab291ffe34740da0dda6a4242,0.00000000,BPT,...,...,ETH Wallet ...b0fFE5 - ETH,0x46EEA8D5b37D2Db51f35c1bC8C50CBf80fb0fFE5,,,,,...,...,,,,,,,...,
12/07/2020 22:44:19,Receive,0x55a1b57a84d5c703adc023fa3a42f8f79d665c06597d6cbca81fd932ecfd831d,0.00000000,MOON-V1-ETH-DAI,...,...,ETH Wallet ...b0fFE5 - ETH,0x46EEA8D5b37D2Db51f35c1bC8C50CBf80fb0fFE5,,,,,...,...,,,,,,,...,
12/07/2020 22:48:52,Receive,0xe4c83c8cec3cd2bda9242f5100925efb6775bf3053a34ebb52bb7da612ebd33e,24722.45494061,BPT,...,...,ETH Wallet ...b0fFE5 - ETH,0x46EEA8D5b37D2Db51f35c1bC8C50CBf80fb0fFE5,,,,,...,...,,,,,,,...,
12/07/2020 22:49:17,Receive,0x73e5ea6fbcd3485ea7229440e598233873f03ee2f0033d9127a1c1388341e73f,228451.23158034,MOON-V1-ETH-DAI,...,...,ETH Wallet ...b0fFE5 - ETH,0x46EEA8D5b37D2Db51f35c1bC8C50CBf80fb0fFE5,,,,,...,...,,,,,,,...,
12/07/2020 22:53:42,Receive,0x773553be722b2ac78c903ec29576f2041a249fb8e3efb34599320468efeb71aa,78089.97295200,USDC,...,...,ETH Wallet ...b0fFE5 - ETH,0x46EEA8D5b37D2Db51f35c1bC8C50CBf80fb0fFE5,,,,,...,...,,,,,,,...,
12/08/2020 03:39:20,Send,c9cb5c557c0eb7f8ab0c96689a6377ada96cb0d0dc1a3f1b372c7cbd9801b517,,,...,...,,,,,0.00000000,ETH,...,...,ETH Wallet ...b0fFE5 - ETH,0x46EEA8D5b37D2Db51f35c1bC8C50CBf80fb0fFE5,,,0.00232589,ETH,...,
12/08/2020 03:41:11,Trade,0x78ef75adee565a6115a914193115e68dfc64d144e289499e9ed48f5b3c4b88bd,73362.98395853,YDAI+YUSDC+YUSDT+YTUSD,...,...,ETH Wallet ...b0fFE5 - ETH,0x46EEA8D5b37D2Db51f35c1bC8C50CBf80fb0fFE5,,,,,...,...,,,,,,,...,
12/08/2020 03:41:11,Trade,0x78ef75adee565a6115a914193115e68dfc64d144e289499e9ed48f5b3c4b88bd,,,...,...,,,,,78089.97000000,USDC,...,...,ETH Wallet ...b0fFE5 - ETH,0x46EEA8D5b37D2Db51f35c1bC8C50CBf80fb0fFE5,,,,,...,
12/08/2020 03:41:11,Trade,0x78ef75adee565a6115a914193115e68dfc64d144e289499e9ed48f5b3c4b88bd,,,...,...,,,,,0.00000000,ETH,...,...,ETH Wallet ...b0fFE5 - ETH,0x46EEA8D5b37D2Db51f35c1bC8C50CBf80fb0fFE5,,,0.03427512,ETH,...,
12/08/2020 03:42:13,Send,62f4adfb221dc018243db789d5d405d1549a538f808ca419a0d5a1b66506a47b,,,...,...,,,,,0.00000000,ETH,...,...,ETH Wallet ...b0fFE5 - ETH,0x46EEA8D5b37D2Db51f35c1bC8C50CBf80fb0fFE5,,,0.00197639,ETH,...,
12/08/2020 03:42:51,Trade,0x6219d86321949b80b99093b43e23a2c70b3a48c6edb3f3b91b408c65c22ca399,65475.24459219,yVault LP-yCurve(YYCRV),...,...,ETH Wallet ...b0fFE5 - ETH,0x46EEA8D5b37D2Db51f35c1bC8C50CBf80fb0fFE5,,,,,...,...,,,,,,,...,
12/08/2020 03:42:51,Trade,0x6219d86321949b80b99093b43e23a2c70b3a48c6edb3f3b91b408c65c22ca399,,,...,...,,,,,73362.98390000,YDAI+YUSDC+YUSDT+YTUSD,...,...,ETH Wallet ...b0fFE5 - ETH,0x46EEA8D5b37D2Db51f35c1bC8C50CBf80fb0fFE5,,,,,...,
12/08/2020 03:42:51,Trade,0x6219d86321949b80b99093b43e23a2c70b3a48c6edb3f3b91b408c65c22ca399,,,...,...,,,,,0.00000000,ETH,...,...,ETH Wallet ...b0fFE5 - ETH,0x46EEA8D5b37D2Db51f35c1bC8C50CBf80fb0fFE5,,,0.00422545,ETH,...,
12/08/2020 04:21:17,Trade,0x2209922818420671d92e7188c03f4abdf9b6bfbcddccdfc13698490af4c4c123,361.93063667,WETH,...,...,ETH Wallet ...b0fFE5 - ETH,0x46EEA8D5b37D2Db51f35c1bC8C50CBf80fb0fFE5,,,,,...,...,,,,,,,...,
12/08/2020 04:21:17,Trade,0x2209922818420671d92e7188c03f4abdf9b6bfbcddccdfc13698490af4c4c123,15555.46907044,BAL,...,...,ETH Wallet ...b0fFE5 - ETH,0x46EEA8D5b37D2Db51f35c1bC8C50CBf80fb0fFE5,,,,,...,...,,,,,,,...,
12/08/2020 04:21:17,Trade,0x2209922818420671d92e7188c03f4abdf9b6bfbcddccdfc13698490af4c4c123,,,...,...,,,,,24722.45494061,BPT,...,...,ETH Wallet ...b0fFE5 - ETH,0x46EEA8D5b37D2Db51f35c1bC8C50CBf80fb0fFE5,,,,,...,
12/08/2020 04:21:17,Trade,0x2209922818420671d92e7188c03f4abdf9b6bfbcddccdfc13698490af4c4c123,,,...,...,,,,,0.00000000,ETH,...,...,ETH Wallet ...b0fFE5 - ETH,0x46EEA8D5b37D2Db51f35c1bC8C50CBf80fb0fFE5,,,0.00573330,ETH,...,
12/08/2020 04:23:23,Send,604013235158d20bff567c8e511e96ed947b317425dd56e00d0ddde740c34967,,,...,...,,,,,0.00000000,ETH,...,...,ETH Wallet ...b0fFE5 - ETH,0x46EEA8D5b37D2Db51f35c1bC8C50CBf80fb0fFE5,,,0.02961380,ETH,...,
12/08/2020 04:26:50,Send,7160b0de0d77c96ac3c8dce6ba939354ebfc58bfd648d63b596d597285f7bf1a,,,...,...,,,,,0.00000000,ETH,...,...,ETH Wallet ...b0fFE5 - ETH,0x46EEA8D5b37D2Db51f35c1bC8C50CBf80fb0fFE5,,,0.00089064,ETH,...,
